usuario_id,version,pagina,concejo,producto_visto,tiempo_sesion_seg,convirtio
6932,B,moderna,Lena,Bálsamo labial de cera de abeja,396,0
1619,A,vintage_rosa,Avilés,Sérum de rosa mosqueta,354,0
6827,B,moderna,Gijón,Crema de lavanda y miel,109,0
1043,A,vintage_rosa,Oviedo,Crema de lavanda y miel,366,0
5319,B,moderna,Mieres,Aceite de argán artesanal,111,0
4795,B,moderna,Oviedo,Bálsamo labial de cera de abeja,88,0
488,A,vintage_rosa,Oviedo,Champú sólido de romero,41,0
1018,A,vintage_rosa,Avilés,Champú sólido de romero,158,0
2816,A,vintage_rosa,Mieres,Mascarilla de arcilla verde,189,0
2717,A,vintage_rosa,Siero,Sérum de rosa mosqueta,84,0
5364,B,moderna,Oviedo,Champú sólido de romero,243,0
2930,A,vintage_rosa,Oviedo,Bálsamo labial de cera de abeja,156,0
3363,A,vintage_rosa,Langreo,Mascarilla de arcilla verde,316,0
5166,B,moderna,Gijón,Champú sólido de romero,238,0
1076,A,vintage_rosa,Oviedo,Aceite de argán artesanal,369,0
6399,B,moderna,Avilés,Sérum de rosa mosqueta,285,0
4982,B,moderna,Oviedo,Mascarilla de arcilla verde,48,0
6229,B,moderna,Oviedo,Acondicionador de ortiga,377,1
2922,A,vintage_rosa,Langreo,Mascarilla de arcilla verde,50,1
4020,B,moderna,Teverga,Sérum de rosa mosqueta,386,0
4332,B,moderna,Oviedo,Aceite de argán artesanal,250,0
7000,B,moderna,Oviedo,Sérum de rosa mosqueta,237,0
1323,A,vintage_rosa,Villaviciosa,Acondicionador de ortiga,48,0
7732,B,moderna,Langreo,Bálsamo labial de cera de abeja,237,0
2253,A,vintage_rosa,Langreo,Jabón de avena y caléndula,276,0
6655,B,moderna,Avilés,Aceite de argán artesanal,180,0
7245,B,moderna,Oviedo,Crema de lavanda y miel,316,0
867,A,vintage_rosa,Gijón,Acondicionador de ortiga,149,0
5592,B,moderna,Villaviciosa,Mascarilla de arcilla verde,291,0
2466,A,vintage_rosa,Gijón,Crema de lavanda y miel,301,0
466,A,vintage_rosa,Oviedo,Crema de lavanda y miel,38,0
2883,A,vintage_rosa,Gijón,Crema de lavanda y miel,293,0
4962,B,moderna,Gijón,Mascarilla de arcilla verde,345,0
7043,B,moderna,San Martín del Rey Aurelio,Acondicionador de ortiga,52,0
6241,B,moderna,Mieres,Acondicionador de ortiga,275,0
5448,B,moderna,Gijón,Crema de lavanda y miel,49,0
1503,A,vintage_rosa,Gijón,Sérum de rosa mosqueta,95,0
3916,A,vintage_rosa,Oviedo,Jabón de avena y caléndula,261,0
3263,A,vintage_rosa,Oviedo,Sérum de rosa mosqueta,90,0
264,A,vintage_rosa,Avilés,Sérum de rosa mosqueta,291,0
3807,A,vintage_rosa,Oviedo,Acondicionador de ortiga,260,0
4085,B,moderna,Oviedo,Crema de lavanda y miel,266,0
7840,B,moderna,Mieres,Jabón de avena y caléndula,216,0
1812,A,vintage_rosa,Mieres,Champú sólido de romero,328,0
1145,A,vintage_rosa,Oviedo,Champú sólido de romero,100,0
5828,B,moderna,Gijón,Bálsamo labial de cera de abeja,315,0
2150,A,vintage_rosa,Gozón,Sérum de rosa mosqueta,109,0
3930,A,vintage_rosa,Gijón,Mascarilla de arcilla verde,300,1
6320,B,moderna,Langreo,Jabón de avena y caléndula,263,0
3291,A,vintage_rosa,Gijón,Bálsamo labial de cera de abeja,220,0
683,A,vintage_rosa,Gijón,Crema de lavanda y miel,75,0
2841,A,vintage_rosa,Oviedo,Champú sólido de romero,234,0
1003,A,vintage_rosa,Villaviciosa,Aceite de argán artesanal,162,0
6756,B,moderna,Gijón,Acondicionador de ortiga,325,0
5130,B,moderna,Gijón,Crema de lavanda y miel,189,0
4291,B,moderna,Mieres,Mascarilla de arcilla verde,154,0
2174,A,vintage_rosa,Carreño,Champú sólido de romero,403,0
484,A,vintage_rosa,Siero,Bálsamo labial de cera de abeja,39,0
3814,A,vintage_rosa,Siero,Champú sólido de romero,340,0
4415,B,moderna,Gozón,Aceite de argán artesanal,51,0
519,A,vintage_rosa,Lena,Sérum de rosa mosqueta,360,0
6989,B,moderna,Avilés,Bálsamo labial de cera de abeja,340,0
1346,A,vintage_rosa,Oviedo,Mascarilla de arcilla verde,197,0
697,A,vintage_rosa,Oviedo,Mascarilla de arcilla verde,384,0
1010,A,vintage_rosa,Oviedo,Crema de lavanda y miel,177,0
6318,B,moderna,Castrillón,Aceite de argán artesanal,111,0
6596,B,moderna,Oviedo,Champú sólido de romero,318,0
2771,A,vintage_rosa,Gijón,Mascarilla de arcilla verde,362,0
1075,A,vintage_rosa,Lena,Bálsamo labial de cera de abeja,102,0
1340,A,vintage_rosa,Gijón,Sérum de rosa mosqueta,211,0
2987,A,vintage_rosa,Gijón,Sérum de rosa mosqueta,295,0
7710,B,moderna,Gijón,Sérum de rosa mosqueta,52,0
6748,B,moderna,Lena,Crema de lavanda y miel,265,0
4422,B,moderna,Gijón,Crema de lavanda y miel,158,0
3393,A,vintage_rosa,San Martín del Rey Aurelio,Crema de lavanda y miel,63,0
1484,A,vintage_rosa,Gijón,Acondicionador de ortiga,254,0
4862,B,moderna,Oviedo,Sérum de rosa mosqueta,300,0
1935,A,vintage_rosa,Langreo,Sérum de rosa mosqueta,143,0
1035,A,vintage_rosa,Gijón,Jabón de avena y caléndula,365,0
5485,B,moderna,Gijón,Jabón de avena y caléndula,194,0
2479,A,vintage_rosa,Gijón,Acondicionador de ortiga,58,0
350,A,vintage_rosa,Siero,Bálsamo labial de cera de abeja,144,0
4394,B,moderna,Avilés,Bálsamo labial de cera de abeja,99,0
4353,B,moderna,Siero,Mascarilla de arcilla verde,272,0
7558,B,moderna,Gijón,Champú sólido de romero,171,0
1062,A,vintage_rosa,Lena,Bálsamo labial de cera de abeja,135,0
880,A,vintage_rosa,Gijón,Champú sólido de romero,179,0
5603,B,moderna,Gijón,Mascarilla de arcilla verde,147,0
2543,A,vintage_rosa,Gozón,Jabón de avena y caléndula,165,0
6424,B,moderna,Oviedo,Jabón de avena y caléndula,409,0
6745,B,moderna,Gijón,Champú sólido de romero,278,0
1851,A,vintage_rosa,Oviedo,Acondicionador de ortiga,388,1
5403,B,moderna,Salas,Jabón de avena y caléndula,247,0
1678,A,vintage_rosa,Oviedo,Acondicionador de ortiga,216,0
1836,A,vintage_rosa,Siero,Jabón de avena y caléndula,352,0
7112,B,moderna,Oviedo,Bálsamo labial de cera de abeja,391,0
4953,B,moderna,Oviedo,Crema de lavanda y miel,265,0
4705,B,moderna,Langreo,Acondicionador de ortiga,144,0
5200,B,moderna,Gijón,Champú sólido de romero,33,0
458,A,vintage_rosa,Oviedo,Mascarilla de arcilla verde,412,0
4648,B,moderna,Oviedo,Champú sólido de romero,258,0
6508,B,moderna,Gijón,Mascarilla de arcilla verde,158,0
3183,A,vintage_rosa,Oviedo,Jabón de avena y caléndula,70,0
5338,B,moderna,Villaviciosa,Acondicionador de ortiga,67,0
1946,A,vintage_rosa,Avilés,Aceite de argán artesanal,33,0
6125,B,moderna,Oviedo,Champú sólido de romero,262,0
3264,A,vintage_rosa,Gijón,Jabón de avena y caléndula,129,0
6523,B,moderna,Gijón,Jabón de avena y caléndula,116,0
6522,B,moderna,Oviedo,Jabón de avena y caléndula,114,0
6703,B,moderna,Gozón,Aceite de argán artesanal,266,0
2989,A,vintage_rosa,Langreo,Crema de lavanda y miel,134,0
7021,B,moderna,Oviedo,Aceite de argán artesanal,174,0
1551,A,vintage_rosa,Nava,Bálsamo labial de cera de abeja,140,0
2165,A,vintage_rosa,Oviedo,Bálsamo labial de cera de abeja,136,1
587,A,vintage_rosa,Gijón,Jabón de avena y caléndula,411,0
2406,A,vintage_rosa,Siero,Bálsamo labial de cera de abeja,61,0
6801,B,moderna,Castrillón,Sérum de rosa mosqueta,106,0
3429,A,vintage_rosa,Carreño,Mascarilla de arcilla verde,209,0
2610,A,vintage_rosa,Gijón,Crema de lavanda y miel,237,0
3657,A,vintage_rosa,Oviedo,Jabón de avena y caléndula,236,0
3215,A,vintage_rosa,Gijón,Acondicionador de ortiga,360,0
3535,A,vintage_rosa,Gijón,Mascarilla de arcilla verde,384,0
3287,A,vintage_rosa,Oviedo,Aceite de argán artesanal,347,0
2081,A,vintage_rosa,Gijón,Aceite de argán artesanal,188,0
6956,B,moderna,Piloña,Champú sólido de romero,70,0
6488,B,moderna,Gijón,Champú sólido de romero,354,0
648,A,vintage_rosa,Langreo,Champú sólido de romero,150,0
223,A,vintage_rosa,Gijón,Bálsamo labial de cera de abeja,115,0
6890,B,moderna,Oviedo,Mascarilla de arcilla verde,285,0
7679,B,moderna,Gijón,Aceite de argán artesanal,380,0
24,A,vintage_rosa,Oviedo,Crema de lavanda y miel,190,0
1906,A,vintage_rosa,Gijón,Jabón de avena y caléndula,250,0
4079,B,moderna,Langreo,Aceite de argán artesanal,320,0
1555,A,vintage_rosa,Gijón,Aceite de argán artesanal,187,0
5724,B,moderna,Castrillón,Jabón de avena y caléndula,266,0
5205,B,moderna,Gijón,Champú sólido de romero,232,0
7701,B,moderna,Siero,Sérum de rosa mosqueta,68,0
5841,B,moderna,Oviedo,Crema de lavanda y miel,123,0
4946,B,moderna,Cangas del Narcea,Champú sólido de romero,87,0
1408,A,vintage_rosa,Castrillón,Jabón de avena y caléndula,269,1
66,A,vintage_rosa,Avilés,Sérum de rosa mosqueta,274,0
6341,B,moderna,Langreo,Acondicionador de ortiga,303,0
1045,A,vintage_rosa,Villaviciosa,Aceite de argán artesanal,83,0
6689,B,moderna,Mieres,Champú sólido de romero,45,0
7925,B,moderna,Oviedo,Mascarilla de arcilla verde,114,0
4744,B,moderna,Oviedo,Crema de lavanda y miel,57,0
2032,A,vintage_rosa,Avilés,Champú sólido de romero,75,0
5825,B,moderna,Oviedo,Champú sólido de romero,35,0
5245,B,moderna,Lena,Acondicionador de ortiga,109,0
5037,B,moderna,San Martín del Rey Aurelio,Sérum de rosa mosqueta,147,0
555,A,vintage_rosa,Villaviciosa,Mascarilla de arcilla verde,230,0
7312,B,moderna,Gijón,Crema de lavanda y miel,216,0
4395,B,moderna,Gozón,Jabón de avena y caléndula,89,0
5395,B,moderna,Gijón,Mascarilla de arcilla verde,400,1
3536,A,vintage_rosa,Gijón,Champú sólido de romero,410,0
1700,A,vintage_rosa,Avilés,Bálsamo labial de cera de abeja,233,0
6727,B,moderna,Villaviciosa,Acondicionador de ortiga,297,0
1056,A,vintage_rosa,Oviedo,Aceite de argán artesanal,55,0
1407,A,vintage_rosa,Gozón,Bálsamo labial de cera de abeja,77,0
3768,A,vintage_rosa,Oviedo,Aceite de argán artesanal,74,0
602,A,vintage_rosa,Oviedo,Acondicionador de ortiga,398,0
1384,A,vintage_rosa,Gijón,Jabón de avena y caléndula,32,0
3333,A,vintage_rosa,Gijón,Champú sólido de romero,57,0
2119,A,vintage_rosa,Gijón,Champú sólido de romero,195,0
4320,B,moderna,Oviedo,Bálsamo labial de cera de abeja,148,0
1913,A,vintage_rosa,Noreña,Mascarilla de arcilla verde,72,0
3685,A,vintage_rosa,Langreo,Bálsamo labial de cera de abeja,267,0
7583,B,moderna,Gijón,Acondicionador de ortiga,290,0
4814,B,moderna,Siero,Acondicionador de ortiga,88,0
1741,A,vintage_rosa,Gozón,Jabón de avena y caléndula,45,0
5040,B,moderna,Langreo,Acondicionador de ortiga,113,0
928,A,vintage_rosa,Avilés,Mascarilla de arcilla verde,163,0
5139,B,moderna,Oviedo,Jabón de avena y caléndula,78,0
3579,A,vintage_rosa,Mieres,Jabón de avena y caléndula,411,0
4443,B,moderna,Avilés,Crema de lavanda y miel,71,0
7473,B,moderna,Oviedo,Aceite de argán artesanal,315,0
7129,B,moderna,Oviedo,Sérum de rosa mosqueta,386,0
240,A,vintage_rosa,Gijón,Sérum de rosa mosqueta,272,0
2967,A,vintage_rosa,Mieres,Bálsamo labial de cera de abeja,184,0
3543,A,vintage_rosa,Gijón,Jabón de avena y caléndula,388,0
6207,B,moderna,Avilés,Champú sólido de romero,54,0
3211,A,vintage_rosa,Gijón,Sérum de rosa mosqueta,401,0
102,A,vintage_rosa,Siero,Acondicionador de ortiga,40,0
319,A,vintage_rosa,Gijón,Crema de lavanda y miel,156,0
4582,B,moderna,Cudillero,Champú sólido de romero,290,0
3188,A,vintage_rosa,Oviedo,Bálsamo labial de cera de abeja,295,0
534,A,vintage_rosa,Avilés,Champú sólido de romero,262,0
738,A,vintage_rosa,Teverga,Crema de lavanda y miel,266,0
1245,A,vintage_rosa,Mieres,Aceite de argán artesanal,322,0
1143,A,vintage_rosa,Langreo,Mascarilla de arcilla verde,70,0
4348,B,moderna,Gijón,Mascarilla de arcilla verde,56,0
7288,B,moderna,Oviedo,Aceite de argán artesanal,346,0
6527,B,moderna,Oviedo,Acondicionador de ortiga,404,0
1329,A,vintage_rosa,Siero,Bálsamo labial de cera de abeja,42,0
7098,B,moderna,Avilés,Bálsamo labial de cera de abeja,403,0
6614,B,moderna,Cangas del Narcea,Champú sólido de romero,93,0
1929,A,vintage_rosa,Siero,Sérum de rosa mosqueta,31,0
5005,B,moderna,Gijón,Mascarilla de arcilla verde,78,0
497,A,vintage_rosa,Avilés,Mascarilla de arcilla verde,247,0
7545,B,moderna,Oviedo,Acondicionador de ortiga,287,0
2772,A,vintage_rosa,Oviedo,Jabón de avena y caléndula,204,0
473,A,vintage_rosa,Gijón,Aceite de argán artesanal,295,0
5051,B,moderna,Avilés,Mascarilla de arcilla verde,331,0
4077,B,moderna,Carreño,Jabón de avena y caléndula,288,0
3917,A,vintage_rosa,Mieres,Acondicionador de ortiga,36,0
545,A,vintage_rosa,Siero,Aceite de argán artesanal,143,0
4177,B,moderna,Oviedo,Sérum de rosa mosqueta,132,0
1243,A,vintage_rosa,Mieres,Champú sólido de romero,77,1
7331,B,moderna,Gijón,Acondicionador de ortiga,241,0
5539,B,moderna,Oviedo,Sérum de rosa mosqueta,324,0
335,A,vintage_rosa,Gijón,Acondicionador de ortiga,396,0
7133,B,moderna,Oviedo,Jabón de avena y caléndula,193,0
1316,A,vintage_rosa,Siero,Aceite de argán artesanal,104,0
1920,A,vintage_rosa,Oviedo,Jabón de avena y caléndula,216,0
2185,A,vintage_rosa,Siero,Jabón de avena y caléndula,119,0
3862,A,vintage_rosa,Siero,Aceite de argán artesanal,216,0
7410,B,moderna,Gijón,Crema de lavanda y miel,112,0
4646,B,moderna,Oviedo,Bálsamo labial de cera de abeja,71,0
133,A,vintage_rosa,Gijón,Champú sólido de romero,286,0
3961,A,vintage_rosa,Avilés,Jabón de avena y caléndula,224,0
6352,B,moderna,Oviedo,Acondicionador de ortiga,418,0
2246,A,vintage_rosa,Avilés,Aceite de argán artesanal,70,0
541,A,vintage_rosa,Nava,Jabón de avena y caléndula,174,0
6147,B,moderna,Gijón,Champú sólido de romero,341,0
2030,A,vintage_rosa,Siero,Jabón de avena y caléndula,207,0
38,A,vintage_rosa,Gijón,Aceite de argán artesanal,397,0
7637,B,moderna,Gozón,Aceite de argán artesanal,89,0
7574,B,moderna,Oviedo,Sérum de rosa mosqueta,99,0
2019,A,vintage_rosa,Gijón,Bálsamo labial de cera de abeja,358,0
2112,A,vintage_rosa,Gijón,Bálsamo labial de cera de abeja,404,0
2403,A,vintage_rosa,Oviedo,Mascarilla de arcilla verde,40,0
749,A,vintage_rosa,San Martín del Rey Aurelio,Sérum de rosa mosqueta,53,0
7568,B,moderna,Teverga,Aceite de argán artesanal,368,0
2457,A,vintage_rosa,Oviedo,Acondicionador de ortiga,367,0
7513,B,moderna,Langreo,Champú sólido de romero,237,0
2345,A,vintage_rosa,Piloña,Sérum de rosa mosqueta,45,0
96,A,vintage_rosa,Avilés,Bálsamo labial de cera de abeja,113,0
6252,B,moderna,Siero,Acondicionador de ortiga,310,0
7865,B,moderna,Avilés,Acondicionador de ortiga,274,0
5224,B,moderna,Oviedo,Champú sólido de romero,262,0
2115,A,vintage_rosa,Siero,Sérum de rosa mosqueta,185,0
2587,A,vintage_rosa,Gijón,Aceite de argán artesanal,192,0
5199,B,moderna,Gijón,Jabón de avena y caléndula,243,0
3440,A,vintage_rosa,Cangas del Narcea,Acondicionador de ortiga,317,0
3555,A,vintage_rosa,Gijón,Aceite de argán artesanal,272,0
454,A,vintage_rosa,San Martín del Rey Aurelio,Acondicionador de ortiga,63,0
6585,B,moderna,Oviedo,Aceite de argán artesanal,415,0
2813,A,vintage_rosa,Langreo,Mascarilla de arcilla verde,150,0
2837,A,vintage_rosa,Noreña,Mascarilla de arcilla verde,192,1
252,A,vintage_rosa,Oviedo,Sérum de rosa mosqueta,266,0
6636,B,moderna,Oviedo,Mascarilla de arcilla verde,260,0
1023,A,vintage_rosa,Cangas del Narcea,Crema de lavanda y miel,299,0
7648,B,moderna,Lena,Jabón de avena y caléndula,141,0
1011,A,vintage_rosa,Gijón,Aceite de argán artesanal,90,0
4650,B,moderna,Siero,Acondicionador de ortiga,241,0
6002,B,moderna,Gijón,Jabón de avena y caléndula,366,0
1673,A,vintage_rosa,Villaviciosa,Champú sólido de romero,409,0
626,A,vintage_rosa,Oviedo,Acondicionador de ortiga,374,0
7794,B,moderna,Gijón,Jabón de avena y caléndula,289,0
2111,A,vintage_rosa,Gijón,Jabón de avena y caléndula,179,0
1466,A,vintage_rosa,Gijón,Acondicionador de ortiga,45,0
7530,B,moderna,Avilés,Mascarilla de arcilla verde,111,0
4735,B,moderna,Siero,Champú sólido de romero,345,0
4267,B,moderna,Gijón,Mascarilla de arcilla verde,124,1
3092,A,vintage_rosa,Nava,Jabón de avena y caléndula,157,0
6973,B,moderna,Mieres,Mascarilla de arcilla verde,341,0
1889,A,vintage_rosa,Mieres,Mascarilla de arcilla verde,232,0
1609,A,vintage_rosa,Gijón,Mascarilla de arcilla verde,118,0
1745,A,vintage_rosa,Oviedo,Champú sólido de romero,392,1
158,A,vintage_rosa,Mieres,Bálsamo labial de cera de abeja,54,0
2440,A,vintage_rosa,Gijón,Mascarilla de arcilla verde,30,0
2200,A,vintage_rosa,Oviedo,Mascarilla de arcilla verde,261,0
3095,A,vintage_rosa,Gijón,Crema de lavanda y miel,60,0
6214,B,moderna,Gijón,Acondicionador de ortiga,364,0
504,A,vintage_rosa,Castrillón,Sérum de rosa mosqueta,417,0
6187,B,moderna,Gijón,Bálsamo labial de cera de abeja,261,0
316,A,vintage_rosa,Langreo,Sérum de rosa mosqueta,322,0
711,A,vintage_rosa,Mieres,Mascarilla de arcilla verde,408,0
3969,A,vintage_rosa,Avilés,Acondicionador de ortiga,241,0
4175,B,moderna,Siero,Sérum de rosa mosqueta,219,0
3718,A,vintage_rosa,Gijón,Bálsamo labial de cera de abeja,225,0
7083,B,moderna,Gijón,Jabón de avena y caléndula,363,1
857,A,vintage_rosa,Gijón,Jabón de avena y caléndula,190,0
3323,A,vintage_rosa,Mieres,Jabón de avena y caléndula,251,0
5003,B,moderna,Siero,Sérum de rosa mosqueta,312,0
2657,A,vintage_rosa,Teverga,Acondicionador de ortiga,104,0
320,A,vintage_rosa,Gijón,Sérum de rosa mosqueta,121,1
430,A,vintage_rosa,Gijón,Champú sólido de romero,339,0
1019,A,vintage_rosa,Salas,Bálsamo labial de cera de abeja,315,0
1427,A,vintage_rosa,Gijón,Champú sólido de romero,343,0
7943,B,moderna,Oviedo,Champú sólido de romero,171,0
3704,A,vintage_rosa,Carreño,Crema de lavanda y miel,199,0
6544,B,moderna,Gijón,Sérum de rosa mosqueta,140,0
2108,A,vintage_rosa,San Martín del Rey Aurelio,Champú sólido de romero,110,0
7146,B,moderna,Langreo,Bálsamo labial de cera de abeja,328,0
6606,B,moderna,Oviedo,Jabón de avena y caléndula,268,0
7531,B,moderna,Langreo,Aceite de argán artesanal,379,0
7979,B,moderna,Oviedo,Bálsamo labial de cera de abeja,260,0
7945,B,moderna,Gijón,Crema de lavanda y miel,268,0
1194,A,vintage_rosa,Siero,Sérum de rosa mosqueta,300,0
6358,B,moderna,Villaviciosa,Acondicionador de ortiga,61,0
4114,B,moderna,Oviedo,Champú sólido de romero,202,0
5741,B,moderna,Gijón,Acondicionador de ortiga,210,0
1841,A,vintage_rosa,Oviedo,Champú sólido de romero,311,0
2535,A,vintage_rosa,Mieres,Champú sólido de romero,287,0
1863,A,vintage_rosa,Gijón,Champú sólido de romero,388,0
5837,B,moderna,Siero,Champú sólido de romero,363,0
7774,B,moderna,Oviedo,Crema de lavanda y miel,177,0
6700,B,moderna,Gijón,Aceite de argán artesanal,123,0
3046,A,vintage_rosa,Langreo,Aceite de argán artesanal,37,0
2629,A,vintage_rosa,Avilés,Acondicionador de ortiga,82,0
4229,B,moderna,Oviedo,Crema de lavanda y miel,373,0
6061,B,moderna,Avilés,Acondicionador de ortiga,238,0
4230,B,moderna,Gijón,Mascarilla de arcilla verde,266,0
1282,A,vintage_rosa,Langreo,Bálsamo labial de cera de abeja,168,0
7741,B,moderna,Mieres,Aceite de argán artesanal,198,0
7289,B,moderna,Avilés,Acondicionador de ortiga,150,0
5503,B,moderna,Oviedo,Jabón de avena y caléndula,352,0
4221,B,moderna,Oviedo,Champú sólido de romero,236,0
4546,B,moderna,Nava,Acondicionador de ortiga,376,0
7699,B,moderna,Gijón,Acondicionador de ortiga,323,0
744,A,vintage_rosa,Avilés,Crema de lavanda y miel,78,0
5529,B,moderna,Gijón,Aceite de argán artesanal,392,0
2234,A,vintage_rosa,Carreño,Jabón de avena y caléndula,248,0
4505,B,moderna,Teverga,Aceite de argán artesanal,321,0
6247,B,moderna,Oviedo,Bálsamo labial de cera de abeja,195,0
6097,B,moderna,Castrillón,Aceite de argán artesanal,174,0
7771,B,moderna,Oviedo,Champú sólido de romero,352,0
5278,B,moderna,Gijón,Acondicionador de ortiga,208,0
3616,A,vintage_rosa,Gijón,Crema de lavanda y miel,76,0
4790,B,moderna,Villaviciosa,Champú sólido de romero,131,0
7497,B,moderna,Oviedo,Sérum de rosa mosqueta,129,0
2698,A,vintage_rosa,Oviedo,Jabón de avena y caléndula,199,0
1702,A,vintage_rosa,Oviedo,Jabón de avena y caléndula,404,0
997,A,vintage_rosa,Salas,Sérum de rosa mosqueta,113,0
4039,B,moderna,Gijón,Mascarilla de arcilla verde,32,0
4658,B,moderna,San Martín del Rey Aurelio,Crema de lavanda y miel,363,0
7907,B,moderna,Gijón,Crema de lavanda y miel,70,0
4718,B,moderna,Gijón,Mascarilla de arcilla verde,392,0
4716,B,moderna,Gijón,Aceite de argán artesanal,414,0
3483,A,vintage_rosa,Oviedo,Acondicionador de ortiga,240,0
6370,B,moderna,Carreño,Champú sólido de romero,63,0
5894,B,moderna,Oviedo,Sérum de rosa mosqueta,57,0
5147,B,moderna,Cangas del Narcea,Champú sólido de romero,386,0
1085,A,vintage_rosa,Piloña,Mascarilla de arcilla verde,233,0
2267,A,vintage_rosa,Avilés,Crema de lavanda y miel,362,0
1923,A,vintage_rosa,Siero,Champú sólido de romero,89,1
7224,B,moderna,Oviedo,Sérum de rosa mosqueta,138,0
1047,A,vintage_rosa,Gijón,Champú sólido de romero,71,0
1347,A,vintage_rosa,Oviedo,Acondicionador de ortiga,407,0
5923,B,moderna,Gijón,Jabón de avena y caléndula,47,0
1177,A,vintage_rosa,Castrillón,Champú sólido de romero,225,0
6283,B,moderna,Siero,Mascarilla de arcilla verde,340,0
7037,B,moderna,Gijón,Crema de lavanda y miel,375,0
6084,B,moderna,Gijón,Champú sólido de romero,248,0
5915,B,moderna,Gijón,Sérum de rosa mosqueta,301,0
4839,B,moderna,Oviedo,Jabón de avena y caléndula,276,0
1422,A,vintage_rosa,Avilés,Crema de lavanda y miel,285,1
6076,B,moderna,Siero,Champú sólido de romero,366,0
4150,B,moderna,Gijón,Jabón de avena y caléndula,139,0
5776,B,moderna,Gijón,Crema de lavanda y miel,51,0
909,A,vintage_rosa,Gijón,Sérum de rosa mosqueta,369,0
2914,A,vintage_rosa,Cudillero,Sérum de rosa mosqueta,192,0
6852,B,moderna,Gijón,Sérum de rosa mosqueta,301,0
1973,A,vintage_rosa,Oviedo,Crema de lavanda y miel,316,0
6528,B,moderna,Gijón,Bálsamo labial de cera de abeja,118,0
7919,B,moderna,Gijón,Jabón de avena y caléndula,312,0
3734,A,vintage_rosa,Avilés,Aceite de argán artesanal,253,0
394,A,vintage_rosa,Castrillón,Aceite de argán artesanal,396,0
684,A,vintage_rosa,Langreo,Acondicionador de ortiga,341,0
231,A,vintage_rosa,Castrillón,Jabón de avena y caléndula,289,0
7948,B,moderna,Oviedo,Sérum de rosa mosqueta,88,0
1431,A,vintage_rosa,Oviedo,Champú sólido de romero,398,0
677,A,vintage_rosa,Gijón,Mascarilla de arcilla verde,63,0
6464,B,moderna,Gijón,Sérum de rosa mosqueta,405,0
2139,A,vintage_rosa,Gijón,Champú sólido de romero,133,0
6927,B,moderna,San Martín del Rey Aurelio,Mascarilla de arcilla verde,107,0
34,A,vintage_rosa,Piloña,Mascarilla de arcilla verde,118,0
2808,A,vintage_rosa,Gijón,Jabón de avena y caléndula,105,0
958,A,vintage_rosa,Gijón,Champú sólido de romero,316,0
7872,B,moderna,Teverga,Crema de lavanda y miel,175,0
6343,B,moderna,Gijón,Jabón de avena y caléndula,388,0
1633,A,vintage_rosa,Langreo,Crema de lavanda y miel,215,0
7418,B,moderna,Oviedo,Champú sólido de romero,417,0
4263,B,moderna,Carreño,Mascarilla de arcilla verde,306,0
2224,A,vintage_rosa,Gijón,Aceite de argán artesanal,322,0
3379,A,vintage_rosa,Gijón,Aceite de argán artesanal,419,0
